"x.km.ns","y.km.ns","x.km.os","y.km.os","lon.ns","lat.ns","lon.os","lat.os"
-14655.998880575,6958.75968441221,-14782.212702827,7186.0520861601,-165.064195185597,54.7967688642437,-169.532303360649,56.4323009628288
-14559.290839828,6983.91633280312,-14645.4814878107,7244.62928415809,-164.339548530978,55.1072370905781,-168.859906156629,57.0625146794663
-14461.5063137756,7004.31841440021,-14531.2912536073,7276.99311470599,-163.53978266603,55.3814450664765,-168.061245055151,57.4588358086565
-14364.7577537963,7028.9179443006,-14436.6544517625,7301.31526100853,-162.804759067145,55.6875703162679,-167.362064820038,57.7675690938623
-14268.5691167796,7055.3137912246,-14351.5516471169,7325.41979263122,-162.098257368124,56.0073752534901,-166.764945999489,58.0630848818526
-14169.5299420979,7066.08309017572,-14289.9514836411,7347.40120283264,-161.153172179516,56.205903853293,-166.398837366569,58.3134042399941
-14075.7287813383,7095.14385435207,-14253.9792741356,7366.25889978694,-160.505018171677,56.5441646454487,-166.273930291552,58.5080176171981
-13997.7733831034,7155.28972925569,-14235.3455054596,7381.84614618043,-160.447184620902,57.1142440837358,-166.29577658364,58.6556675271988
-13944.9176260081,7238.70012627002,-14222.6593690949,7398.96712632906,-160.999177365659,57.8450555524884,-166.408164539699,58.8086195641394
-13925.1014278951,7335.80688010426,-14211.6738351876,7425.18665482762,-162.145681796219,58.6514955766295,-166.677802601447,59.0329313567884
-13910.3001997684,7433.92909215025,-14199.7201700148,7482.02396286928,-163.411707562726,59.4636041520072,-167.408338338147,59.5057969360786
-13920.7401325831,7532.90885514288,-14177.7114560395,7596.17256878634,-165.030441600805,60.2561353064412,-168.953323902696,60.4571841652316
-13883.3480716949,7616.62328462408,-14118.8658981713,7752.51233101681,-165.917735742203,60.9849255203152,-170.865835551053,61.8068850566039
-13820.7511963281,7693.26262263045,-13977.1219817847,7900.6911091552,-166.436927243698,61.6901107452605,-171.813280783766,63.2108497246518
-13731.8963507767,7738.68163132038,-13870.6722520133,7971.57048533595,-166.159403103529,62.1728718488125,-171.853640609342,63.9384654193825
-13637.8037131587,7772.23361845167,-13780.5649903812,8023.00915610956,-165.627330476791,62.5648441529406,-171.744850437082,64.4858284277919
-13546.0155965448,7810.85819436765,-13724.4817062707,8057.8205105423,-165.208529002052,62.9969389039861,-171.735571448588,64.8514444638711
-13468.1829468973,7872.31245316677,-13691.2358902669,8086.51254918903,-165.34826361894,63.6047388413638,-171.886900787627,65.1371844854164
-13416.8571482176,7956.91168342255,-13663.1180179345,8122.48006690197,-166.229085511095,64.379204491178,-172.245678428582,65.47930510366
-13381.6732578088,8050.19780652283,-13610.5482603495,8204.55496335762,-167.508387344716,65.2138900219565,-173.237964387325,66.2502282181515
-13331.3990036651,8123.78582150651,-13452.773530844,8352.20019449788,-168.291333904772,65.9051941673492,-174.379707027784,67.7376227781593
-13232.8193446265,8140.13675197643,-13315.8332432232,8405.61266693471,-167.417400693399,66.1662091259549,-173.844801338897,68.3843612434665
-13133.7705019169,8153.14434112656,-13234.0488721061,8431.77367935556,-166.471109675852,66.3982032192694,-173.403357405092,68.7206549235387
-13037.0589362864,8176.91737185733,-13181.5472442975,8454.2524195772,-165.756710809956,66.7199750630515,-173.245769641688,68.9877052836689
-12952.9182126949,8228.26082716909,-13129.6678578427,8485.83189975071,-165.729764151867,67.2673938836559,-173.301045141321,69.3365257759081
-12892.1756828155,8305.86673665129,-13058.1764918035,8537.51967544152,-166.529806330228,68.0212807141148,-173.573902649105,69.8937893982305
-12824.160389543,8372.31876516473,-12929.262736059,8612.45260561467,-167.05208309889,68.6914032398186,-173.683869383183,70.7401368722207
-12727.8155210229,8396.299344688,-12787.6692329647,8657.45239894625,-166.355588375313,69.0193593688032,-172.94700203122,71.3306254017773
-12628.3417920253,8396.24154391689,-12675.4950597472,8678.69767905124,-165.116457892109,69.1350433271531,-172.017885793607,71.6642212581587
-12529.4403023886,8408.3700202372,-12587.2908648333,8694.4222708248,-164.135082876577,69.3580184053778,-171.261027771181,71.916685338201
-12434.0906851595,8437.57812225316,-12504.8098204142,8713.69587294245,-163.550645972352,69.7300128609616,-170.661476636369,72.1953573861688
-12340.9989999368,8473.01850908119,-12406.9377430318,8738.84994350605,-163.125947030545,70.1563077545468,-170.003874977543,72.5474478905237
-12243.8955373034,8496.39282937278,-12296.1558207336,8763.82104095682,-162.395707078647,70.4778285472471,-169.171996873958,72.9124126238524
-12144.3168259926,8503.46328329286,-12177.0560622495,8782.02755595241,-161.285022528601,70.6525908179311,-168.061488697558,73.2211976511893
-12045.252551042,8516.52286099245,-12071.4949719848,8793.00796807408,-160.304537695149,70.8803825554014,-166.945984894125,73.4439977132278
-11945.902672457,8521.23368945745,-11969.6966961275,8802.16058133236,-159.140538947486,71.0308045075443,-165.830973413189,73.6436016217387
-11846.4246650332,8527.86353090821,-11860.5888022518,8810.0314380662,-158.01257458228,71.1976727588581,-164.584195994099,73.8372098103264
-11748.4406600543,8547.18897470335,-11728.054008321,8809.48231229642,-157.167320461496,71.4786920724065,-162.818932519431,73.9723366039084
-11655.1239035717,8518.27814094006,-11582.5583469209,8784.18095887347,-155.371857512915,71.3094224706144,-160.29145395685,73.8797228897946
-11562.2518449935,8481.53738265372,-11466.2624856008,8745.75864817002,-153.439673932386,71.0675934087525,-157.865307551316,73.6304839508152
-11468.3222149011,8448.53245723121,-11375.2485084556,8712.91106697934,-151.589661381382,70.8609381785136,-155.926532939904,73.4095368592904
-11375.3507686667,8413.11493927821,-11288.1342888015,8683.40604436262,-149.723709158891,70.6311192652953,-154.133424783305,73.2168516390463
-11281.3833661724,8380.3223082516,-11202.2389818936,8657.2525818891,-147.914289269591,70.4258501672473,-152.445365238111,73.0547173061222
-11184.3575366095,8357.14118817968,-11117.2424594287,8634.97395582742,-146.260152365282,70.3099183373448,-150.864337787906,72.9279446507815
-11085.6980239955,8341.96720464483,-11020.7369223662,8612.26049725584,-144.740270109573,70.2668628218161,-149.135193708398,72.8077101278579
-10988.9789223827,8325.71162271781,-10912.2876489067,8583.21046227984,-143.230412786126,70.211064731703,-147.134385753246,72.6390907844713
-10899.3222064699,8282.07854317967,-10806.2793695428,8548.29960644439,-141.335771295812,69.901283879862,-145.067118628973,72.4134008029397
-10806.0424598166,8246.38158109088,-10725.2793384095,8521.27567473046,-139.55552797387,69.6660596321069,-143.495806693275,72.2376562380083
-10713.4605386037,8209.81485312615,-10659.8018000286,8505.47517534844,-137.787524185948,69.4219980565367,-142.349637252263,72.1511799991067
-10615.4435991924,8201.38506255915,-10596.043125394,8497.87855548153,-136.428029303422,69.4336238413062,-141.38456922191,72.1383351793723
-10516.597634927,8214.53417817173,-10517.583778793,8495.7733156443,-135.410727387272,69.6379377122038,-140.334010815693,72.1885238698792
-10417.290388866,8219.12700235591,-10429.0855803248,8497.96609565935,-134.245109311779,69.765047426997,-139.233358422295,72.2862652543385
-10318.6920296133,8218.15932138688,-10339.3853162025,8503.07899948657,-132.996558811106,69.8406007677448,-138.169446656337,72.4109975782324
-10220.3326214695,8232.96113019871,-10246.4480017773,8511.06899787987,-132.002687776466,70.0564483484776,-137.114231165102,72.5640750399007
-10121.2186906457,8245.00926890608,-10144.9962259502,8520.36113596548,-130.951699809254,70.2473356513658,-135.969483167528,72.7353486627351
-10021.6824144571,8246.29148443589,-10037.3785667028,8528.28841858153,-129.720547954356,70.3407051630934,-134.716149825483,72.8979681162305
-9922.99101498325,8261.95385249682,-9911.09827831907,8529.59095505679,-128.725992016268,70.5619038054501,-133.096485698453,73.0131693726098
-9828.51115807163,8242.85818094461,-9783.41999903779,8516.30399871806,-127.234714353792,70.4654562480901,-131.197193988615,72.9928841252121
-9734.15506114775,8213.94793613478,-9665.58652907687,8491.36053865859,-125.60166950907,70.2797711638372,-129.229068435846,72.8558631834454
-9636.65223076607,8200.1702807601,-9561.39694512814,8463.72319071833,-124.168284723629,70.2318190009765,-127.405366816916,72.6826238429271
-9542.31722370964,8167.93566004517,-9450.12969690659,8428.40425500128,-122.506653527778,70.0147802928845,-125.377971132913,72.4438750291864
-9451.38629863563,8131.79420698996,-9347.02002257569,8388.70411238798,-120.845885747757,69.7596410803655,-123.40638131976,72.1586931285962
-9364.37523719123,8082.9716251137,-9256.72462313046,8351.83809720892,-119.073625087217,69.3878903022316,-121.666421393181,71.8898357187309
-9270.90670843945,8047.72825587637,-9170.47148077134,8318.77462667711,-117.430348877217,69.1419931953612,-120.054915033511,71.6525574218834
-9172.64698665923,8030.54526961387,-9073.64186379379,8282.05368981294,-115.983003028861,69.0599007564209,-118.270136217603,71.3896144578785
-9088.17568668558,7990.12248131674,-8981.63728231692,8244.38778250924,-114.407905344311,68.7600961327652,-116.551743864924,71.1144828894184
-9009.26538163335,7930.98374224616,-8909.50947363427,8215.31505292544,-112.682366387095,68.2898338716236,-115.224051171938,70.9027836609202
